name,position,proBowl,age,qb,rb,k,te,wr,gamesPlayed,gamesStarted,receptions,longestReception,longestRushingAttempt,pickNumber,ydsSkd,fantasyPoints,imgPath,createdAt,updatedAt
Antonio Brown,WR,0,28,0,0,0,0,1,11,11,82,51,13,195,0,119.825,antoniobrown.png,,
Odell Beckham Jr.,WR,0,24,0,0,0,0,1,11,11,65,75,0,12,0,114.506,odellbeckhamjr.png,,
Julio Jones,WR,0,27,0,0,0,0,1,11,11,65,75,0,6,0,123.302,juliojones.png,,
DeAndre Hopkins,WR,0,24,0,0,0,0,1,11,11,55,35,0,27,0,93.724,deandrehopskins.png,,
A.J. Green,WR,0,28,0,0,0,0,1,10,10,66,54,0,4,0,110.698,ajgreen.png,,
Allen Robinson,WR,0,23,0,0,0,0,1,11,11,53,35,0,61,0,87.955,allenrobinson.png,,
Dez Bryant,WR,0,28,0,0,0,0,1,8,8,33,53,0,24,0,73.988,dezbryant.png,,
Jordy Nelson,WR,0,31,0,0,0,0,1,10,10,53,58,0,36,0,111.693,jordynelson.png,,
Brandon Marshall,WR,0,32,0,0,0,0,1,11,11,49,41,0,119,0,110.187,brandonmarshall.png,,
Alshon Jeffery,WR,0,26,0,0,0,0,1,9,9,40,54,0,45,0,79.945,alshonjeffery.png,,
Mike Evans,WR,0,23,0,0,0,0,1,11,11,73,45,0,7,0,105.546,mikeevans.png,,
Sammy Watkins,WR,0,23,0,0,0,0,1,3,3,9,62,0,4,0,8.382,sammywatkins.png,,
Brandin Cooks,WR,0,23,0,0,0,0,1,11,8,51,98,11,20,0,100.967,brandincooks.png,,
Amari Cooper,WR,0,22,0,0,0,0,1,11,10,66,64,0,4,0,101.36,amaricooper.png,,
Demaryius Thomas,WR,0,29,0,0,0,0,1,11,11,60,55,0,22,0,118.1,demaryiusthomas.png,,
Keenan Allen,WR,0,24,0,0,0,0,1,1,1,6,15,0,76,0,-28.334,keenanallen.png,,
T.Y. Hilton,WR,0,27,0,0,0,0,1,11,11,60,63,0,92,0,111.553,thomasrawls.png,,
Julian Edelman,WR,0,30,0,0,0,0,1,11,11,64,33,9,232,0,106.039,julianedelman.png,,
Doug Baldwin,WR,0,28,0,0,0,0,1,11,10,61,59,-4,0,0,112.97,dougbaldwin.png,,
Jarvis Landry,WR,0,24,0,0,0,0,1,11,11,64,42,13,63,0,102.467,jarvislandry.png,,
Jeremy Maclin,WR,0,28,0,0,0,0,1,8,8,30,38,-1,19,0,66.939,jeremymaclin.png,,
Randall Cobb,WR,0,26,0,0,0,0,1,9,8,48,47,14,64,0,79.732,randallcobb.png,,
Eric Decker,WR,0,29,0,0,0,0,1,3,3,9,35,0,87,0,11.088,ericdecker.png,,
Golden Tate,WR,0,28,0,0,0,0,1,11,11,57,61,11,60,0,116.423,goldentate.png,,
Donte Moncrief,WR,0,23,0,0,0,0,1,6,4,24,39,-1,7,0,24.467,dontemoncrief.png,,
Adrian Peterson,RB,0,31,0,1,0,0,0,2,2,2,7,9,7,0,39.822,adrianpeterson.png,,
Todd Gurley,RB,0,22,0,1,0,0,0,11,11,30,33,24,175,0,110.445,tombrady.png,,
Ezekiel Elliott,RB,0,21,0,1,0,0,0,11,11,24,83,60,4,0,140.428,ezekielelliott.png,,
David Johnson,RB,0,25,0,1,0,0,0,11,11,55,58,58,7,0,159.189,davidjohnson.png,,
Devonta Freeman,RB,0,24,0,1,0,0,0,11,11,33,27,48,7,0,130.557,devontafreeman.png,,
Le'veon Bell,RB,0,24,0,1,0,0,0,8,8,57,23,44,73,0,112.307,le'veonbell.png,,
Lamar Miller,RB,0,25,0,1,0,0,0,11,11,27,16,45,97,0,120.488,lamarmiller.png,,
Doug Martin,RB,0,27,0,1,0,0,0,5,5,11,27,17,7,0,68.211,dougmartin.png,,
Mark Ingram,RB,0,27,0,1,0,0,0,11,9,30,22,75,73,0,129.586,markingram.png,,
Eddie Lacy,RB,0,26,0,1,0,0,0,5,5,4,17,31,7,0,61.337,eddielacy.png,,
LeSean McCoy,RB,0,28,0,1,0,0,0,10,10,28,25,75,73,0,132.904,leseanmccoy.png,,
Jonathan Stewart,RB,0,29,0,1,0,0,0,8,8,4,25,47,103,0,96.952,jonathanstewart.png,,
Carlos Hyde,RB,0,25,0,1,0,0,0,9,9,21,13,34,7,0,101.242,carloshyde.png,,
C.J. Anderson,RB,0,25,0,1,0,0,0,7,7,16,25,28,7,0,84.32,c.j.anderson.png,,
Jamal Charles,RB,0,30,0,1,0,0,0,3,0,2,16,17,103,0,31.984,jamaalcharles.png,,
Thomas Rawls,RB,0,23,0,1,0,0,0,4,2,9,20,18,175,0,26.903,toddgurley.png,,
Matt Forte,RB,0,31,0,1,0,0,0,11,11,26,31,32,44,0,141.975,mattforte.png,,
Jeremy Hill,RB,0,24,0,1,0,0,0,11,9,15,25,74,103,0,112.034,jeremyhill.png,,
Latavius Murray,RB,0,26,0,1,0,0,0,9,7,26,39,42,73,0,105.581,lataviusmurray.png,,
Ryan Mathews,RB,0,29,0,1,0,0,0,10,6,11,27,30,175,0,92.45,ryanmathews.png,,
DeMarco Murray,RB,0,28,0,1,0,0,0,12,12,45,35,75,7,0,166.504,demarcomurray.png,,
