Name,YearClear,ProBowl,Age,WR,GamesPlayed,GamesStarted,Receptions,LongestReception,LongestRushingAttempt,PickNumber,YdsSkd,FantasyPoints
Antonio Brown,2015,1,27,1,16,16,136,59,16,195,0,221.571
Antonio Brown,2016,0,28,1,11,11,82,51,13,195,0,119.825
Odell Beckham Jr.,2015,1,23,1,15,15,96,87,3,12,0,196.468
Odell Beckham Jr.,2016,0,24,1,11,11,65,75,0,12,0,114.506
Julio Jones,2015,1,26,1,16,16,136,70,0,6,0,229.021
Julio Jones,2016,0,27,1,11,11,65,75,0,6,0,123.302
DeAndre Hopkins,2015,1,23,1,16,16,111,61,0,27,0,202.339
DeAndre Hopkins,2016,0,24,1,11,11,55,35,0,27,0,93.724
A.J. Green,2015,1,27,1,16,16,86,80,0,4,0,207.914
A.J. Green,2016,0,28,1,10,10,66,54,0,4,0,110.698
Allen Robinson,2015,1,22,1,16,16,80,90,0,61,0,191.002
Allen Robinson,2016,0,23,1,11,11,53,35,0,61,0,87.955
Dez Bryant,2015,0,27,1,9,9,31,51,0,24,0,77.845
Dez Bryant,2016,0,28,1,8,8,33,53,0,24,0,73.988
Jordy Nelson,2016,0,31,1,10,10,53,58,0,36,0,111.693
Brandon Marshall,2015,1,31,1,16,16,109,69,0,119,0,221.736
Brandon Marshall,2016,0,32,1,11,11,49,41,0,119,0,110.187
Alshon Jeffery,2015,0,25,1,9,8,54,50,0,45,0,78.906
Alshon Jeffery,2016,0,26,1,9,9,40,54,0,45,0,79.945
Mike Evans,2015,0,22,1,15,14,74,68,0,7,0,141.101
Mike Evans,2016,0,23,1,11,11,73,45,0,7,0,105.546
Sammy Watkins,2015,0,22,1,13,13,60,63,1,4,0,119.457
Sammy Watkins,2016,0,23,1,3,3,9,62,0,4,0,8.382
Brandin Cooks,2015,0,22,1,16,13,84,71,11,20,0,149.190
Brandin Cooks,2016,0,23,1,11,8,51,98,11,20,0,100.967
Amari Cooper,2015,1,21,1,16,15,72,68,2,4,0,174.873
Amari Cooper,2016,0,22,1,11,10,66,64,0,4,0,101.360
Demaryius Thomas,2015,0,28,1,16,16,105,72,0,22,0,188.843
Demaryius Thomas,2016,0,29,1,11,11,60,55,0,22,0,118.100
Keenan Allen,2015,0,23,1,8,8,67,38,0,76,0,70.441
Keenan Allen,2016,0,24,1,1,1,6,15,0,76,0,-28.334
T.Y. Hilton,2015,1,26,1,16,15,69,87,0,92,0,188.942
T.Y. Hilton,2016,0,27,1,11,11,60,63,0,92,0,111.553
Julian Edelman,2015,0,29,1,9,9,61,59,12,232,0,94.659
Julian Edelman,2016,0,30,1,11,11,64,33,9,232,0,106.039
Doug Baldwin,2015,0,27,1,16,16,78,80,0,0,0,175.166
Doug Baldwin,2016,0,28,1,11,10,61,59,-4,0,0,112.970
Jarvis Landry,2015,1,23,1,16,14,110,50,22,63,0,192.234
Jarvis Landry,2016,0,24,1,11,11,64,42,13,63,0,102.467
Jeremy Maclin,2015,0,27,1,15,15,87,61,18,19,0,168.159
Jeremy Maclin,2016,0,28,1,8,8,30,38,-1,19,0,66.939
Randall Cobb,2015,0,25,1,16,15,79,53,12,64,0,155.290
Randall Cobb,2016,0,26,1,9,8,48,47,14,64,0,79.732
Eric Decker,2015,0,28,1,15,13,80,35,0,87,0,140.609
Eric Decker,2016,0,29,1,3,3,9,35,0,87,0,11.088
Golden Tate,2015,0,27,1,16,16,90,43,15,60,0,168.876
Golden Tate,2016,0,28,1,11,11,57,61,11,60,0,116.423
Donte Moncrief,2015,0,22,1,16,10,64,33,0,7,0,108.880
Donte Moncrief,2016,0,23,1,6,4,24,39,-1,7,0,24.467
Adrian Peterson,2015,1,30,0,16,16,30,49,80,7,0,232.712
Adrian Peterson,2016,0,31,0,2,2,2,7,9,7,0,39.822
Todd Gurley,2015,1,21,0,13,12,21,31,71,175,0,154.487
Todd Gurley,2016,0,22,0,11,11,30,33,24,175,0,110.445
Ezekiel Elliott,2016,0,21,0,11,11,24,83,60,4,0,140.428
David Johnson,2015,0,24,0,16,5,36,55,47,7,0,134.981
David Johnson,2016,0,25,0,11,11,55,58,58,7,0,159.189
Devonta Freeman,2015,1,23,0,15,13,73,44,39,7,0,207.334
Devonta Freeman,2016,0,24,0,11,11,33,27,48,7,0,130.557
Le'veon Bell,2015,0,23,0,6,6,24,20,42,73,0,72.643
